scenario_id,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,replications,metric,value
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst6_p_reject,0.09
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst12_p_reject,0.15
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,cox_hr_bias,-0.0016120548785232
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,cox_hr_mse,0.010242223024757
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst6_bias,0.0081531178811133
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst6_mse,0.0146755517551898
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst12_bias,0.0226792466096478
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,rmst12_mse,0.112692720356289
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,mile6_bias,0.0023761748187113
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,mile12_bias,0.0024122372053982
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,true_hr_mix,0.8
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,true_rmst6,0.0647733388414213
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,true_rmst12,0.242273642878244
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,true_mile6,0.0208630294204412
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,true_mile12,0.0376817348644702
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,logrank_p_reject,0.465
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,wlr_fh00_p_reject,0.465
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,wlr_fh01_p_reject,0.395
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,wlr_fh11_p_reject,0.415
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,wlr_fh10_p_reject,0.365
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,maxcombo_p_reject,0.335
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,cox_p_reject,0.465
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst6_p_reject,0.06
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst12_p_reject,0.105
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,cox_hr_bias,-0.0011181602544617
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,cox_hr_mse,0.0082296581153415
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst6_bias,0.0107687046969366
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst6_mse,0.0135775590503372
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst12_bias,0.0369789437498665
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,rmst12_mse,0.0961088186785982
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,mile6_bias,0.004300714482437
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,mile12_bias,0.0046936823720822
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,true_hr_mix,0.8
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,true_rmst6,0.064728711105043
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,true_rmst12,0.241937773975138
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,true_mile6,0.0208411709164319
5,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,200,true_mile12,0.0376011784004064
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,logrank_p_reject,0.49
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,wlr_fh00_p_reject,0.49
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,wlr_fh01_p_reject,0.43
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,wlr_fh11_p_reject,0.41
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,wlr_fh10_p_reject,0.365
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,maxcombo_p_reject,0.375
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,cox_p_reject,0.49
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,rmst6_p_reject,0.08
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,rmst12_p_reject,0.125
6,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,200,cox_hr_bias,0.0067994207104742
