scenario_id,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,replications
108,300,0.0192540883488874,0.3,0.5,1.0,0.9,0.9,1.1,1.0,0.0001224142329805,0.0008987368821919,5.94499631501044e-05,0.0002118626524517,200
109,300,0.0577622650466621,0.0,0.1,0.7,0.7,0.49,0.723333333333333,0.7,0.257479801508493,0.854859020745453,0.0777132742833485,0.116329241402886,200
110,300,0.0577622650466621,0.0,0.1,0.7,0.8,0.56,0.715555555555555,0.7,0.25720130178379,0.852957476896103,0.0775814260183892,0.11590374126325,200
111,300,0.0577622650466621,0.0,0.1,0.7,0.9,0.63,0.707777777777778,0.7,0.257035515127169,0.851834360468406,0.0775031561911367,0.115653889180104,200
112,300,0.0577622650466621,0.0,0.1,0.8,0.7,0.56,0.826666666666667,0.8,0.170019578017961,0.559327746656114,0.0510501271758563,0.0752776335429957,200
113,300,0.0577622650466621,0.0,0.1,0.8,0.8,0.64,0.817777777777778,0.8,0.169664008571582,0.556953118934194,0.0508831226174672,0.0747549036178605,200
114,300,0.0577622650466621,0.0,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.169452581201298,0.55555370730667,0.050784135639347,0.0744489272216842,200
115,300,0.0577622650466621,0.0,0.1,0.9,0.7,0.63,0.93,0.9,0.0845264207354575,0.276598946913609,0.0253022874374631,0.036990149162255,200
116,300,0.0577622650466621,0.0,0.1,0.9,0.8,0.72,0.92,0.9,0.0840865112761362,0.273724991469502,0.0250973095736422,0.0363678624723736,200
117,300,0.0577622650466621,0.0,0.1,0.9,0.9,0.81,0.91,0.9,0.0838252274817259,0.272035080091452,0.0249760029996726,0.0360047678974331,200
118,300,0.0577622650466621,0.0,0.1,1.0,0.7,0.7,1.03333333333333,1.0,0.0009498413826491,0.0060349523411016,0.0004380989836862,0.0012792064626564,200
119,300,0.0577622650466621,0.0,0.1,1.0,0.8,0.8,1.02222222222222,1.0,0.0004189200048205,0.0026414425673397,0.0001926851060749,0.0005565565703458,200
120,300,0.0577622650466621,0.0,0.1,1.0,0.9,0.9,1.01111111111111,1.0,0.0001039332867103,0.0006504502467983,4.7673763319156e-05,0.0001362489451393,200
