"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.04,0.04,0.04,0.055,0.035,0.035,0.04,0.045,0.035,0.00340521101927079,0.0133805382262158,-0.00986986146599368,0.0473165756711497,-0.016442001349689,0.21921373880973,-0.0007973599616343,-0.00143656299337199,200,300,0.115524530093324,0,0.5,1,0.9,0.9,1.1,1,0.00288429456681882,0.0141387420584911,0.00120161351827508,0.00240611478664488
0.015,0.015,0.055,0.02,0.02,0.01,0.015,0.03,0.02,0.004075736592648,0.0133981715803671,-0.00438413899892252,0.0130250960878983,-0.019837599015946,0.0941382319364703,-0.00292233414257826,-0.000896084414710201,200,300,0.0192540883488874,0.1,0.5,1,0.9,0.9,1.1,1,0.000122414232980539,0.000898736882191997,5.94499631501044e-05,0.000211862652451766
0.065,0.065,0.075,0.09,0.05,0.035,0.065,0.04,0.025,-0.0139775080090594,0.0175752642355477,0.0148896004032092,0.0319373975654954,0.0421015284942551,0.19446027406971,0.00693284400045507,0.00267962465124096,200,300,0.0577622650466621,0.1,0.5,1,0.9,0.9,1.1,1,0.000928382475985146,0.00576858913363765,0.000424706988457646,0.00120161351827508
0.065,0.065,0.075,0.07,0.065,0.055,0.065,0.07,0.085,0.0169053055385444,0.0185580797397384,-0.00604839059654026,0.0657063289641849,-0.0206560992678568,0.300997046091771,-0.000493518449457861,-0.00762614548048813,200,300,0.115524530093324,0.1,0.5,1,0.9,0.9,1.1,1,0.00288429456681882,0.0141387420584911,0.00120161351827508,0.00240611478664488
0.08,0.08,0.08,0.085,0.06,0.065,0.08,0.055,0.07,0.00559033287378165,0.0262739680917224,-0.00589793923956147,0.020199979048361,-0.0154285015565605,0.149867044007467,-0.00240798373742354,-0.00259260578334827,200,300,0.0192540883488874,0.3,0.5,1,0.9,0.9,1.1,1,0.000122414232980539,0.000898736882191997,5.94499631501044e-05,0.000211862652451766
0.065,0.065,0.08,0.05,0.055,0.025,0.065,0.055,0.045,-0.000628520201720271,0.0249173715023737,0.00458959978240029,0.0385382745366047,0.0217195112029566,0.251942770894777,0.000629043541481912,0.00145332473316507,200,300,0.0577622650466621,0.3,0.5,1,0.9,0.9,1.1,1,0.000928382475985146,0.00576858913363765,0.000424706988457646,0.00120161351827508
0.075,0.075,0.06,0.05,0.045,0.03,0.075,0.05,0.055,0.00368174413549564,0.0191157459889396,-0.00241204021761748,0.0630351079032054,0.0140248580527956,0.289451495445416,-0.00251673554359251,0.00496675280588482,200,300,0.115524530093324,0.3,0.5,1,0.9,0.9,1.1,1,0.00288429456681882,0.0141387420584911,0.00120161351827508,0.00240611478664488
0.195,0.195,0.2,0.195,0.155,0.145,0.195,0.095,0.13,-0.0107648500434669,0.0134389898460846,0.00184707096398121,0.0198327926639915,0.0162307973930904,0.149214000910135,-0.000343936682286646,0.00211033665793798,200,300,0.0192540883488874,0,0.1,0.9,0.9,0.81,0.91,0.9,0.0322342348302529,0.120003916878737,0.0103571737951571,0.0185715036862932
0.2,0.2,0.185,0.18,0.145,0.145,0.2,0.055,0.105,-0.0108715609830872,0.0115552694890378,0.00808841085526185,0.0337230766721697,0.014186633322287,0.221776672443017,-0.000802576866469725,0.00323661277634763,200,300,0.0577622650466621,0,0.1,0.9,0.9,0.81,0.91,0.9,0.0838252274817259,0.272035080091452,0.0249760029996726,0.0360047678974331
0.165,0.165,0.14,0.125,0.115,0.08,0.16,0.115,0.105,0.0047457092052149,0.00996085609103319,0.000962362978657298,0.0586108605935345,-0.0159532722679689,0.26259371378812,-0.00311139217052754,-0.00579780306478104,200,300,0.115524530093324,0,0.1,0.9,0.9,0.81,0.91,0.9,0.136017540045726,0.36524064682251,0.0360047678974331,0.037432420577603
